"DateTime","Number of sales","Sales USD"
"2022-01-12 00:00:00",11270,44940032.7
"2022-01-13 00:00:00",13594,56769018.02
"2022-01-14 00:00:00",14230,60571284.4
"2022-01-15 00:00:00",14759,65011172.68
"2022-01-16 00:00:00",15127,67532744.64
"2022-01-17 00:00:00",15478,70092030.7
"2022-01-18 00:00:00",15888,73386310.98
"2022-01-19 00:00:00",16548,78619632.18
"2022-01-20 00:00:00",18738,105121217.58
"2022-01-21 00:00:00",20666,133682607.75
"2022-01-22 00:00:00",21108,139281545.76
"2022-01-23 00:00:00",21443,143751571.52
"2022-01-24 00:00:00",21753,147279461.37
"2022-01-25 00:00:00",22408,156484200.61
"2022-01-26 00:00:00",23719,184915398.75
"2022-01-27 00:00:00",24340,200928543.76
"2022-01-28 00:00:00",24578,207145100.57
"2022-01-29 00:00:00",24791,212812633.07
"2022-01-30 00:00:00",25136,222416973.75
"2022-01-31 00:00:00",25534,234434782.38
"2022-02-01 00:00:00",26195,265232678.78
"2022-02-02 00:00:00",26410,273931560.52
"2022-02-03 00:00:00",26558,278512014.79
"2022-02-04 00:00:00",26788,285641419.39
"2022-02-05 00:00:00",26888,288872885.11
"2022-02-06 00:00:00",27008,292829530.45
"2022-02-07 00:00:00",27211,300467608.63
"2022-02-08 00:00:00",27264,302589298.42
"2022-02-09 00:00:00",27365,306329121.76
"2022-02-10 00:00:00",27464,309878783.9
"2022-02-11 00:00:00",16265,267786913.97
"2022-02-12 00:00:00",14014,259025944.02
"2022-02-13 00:00:00",13508,260692498.37
"2022-02-14 00:00:00",13078,260905837.99
"2022-02-15 00:00:00",12931,269719961.32
"2022-02-16 00:00:00",12680,271853913
"2022-02-17 00:00:00",12342,272152745.62
"2022-02-18 00:00:00",11737,269695809.7
"2022-02-19 00:00:00",9589,245159535.14
"2022-02-20 00:00:00",7736,219381442.17
"2022-02-21 00:00:00",7345,215649928.21
"2022-02-22 00:00:00",7070,213278277.49
"2022-02-23 00:00:00",6813,211417983.98
"2022-02-24 00:00:00",6297,205842703.8
"2022-02-25 00:00:00",5090,180361802.58
"2022-02-26 00:00:00",4488,165055867.01
"2022-02-27 00:00:00",4284,159995158.41
"2022-02-28 00:00:00",4103,155397304.05
"2022-03-01 00:00:00",3784,146831469.66
"2022-03-02 00:00:00",3418,136053073.41
"2022-03-03 00:00:00",2826,107325353.93
"2022-03-04 00:00:00",2703,101454872.07
"2022-03-05 00:00:00",2593,97841390.49
"2022-03-06 00:00:00",2387,91447667.86
"2022-03-07 00:00:00",2341,89423957.71
"2022-03-08 00:00:00",2263,86344080.17
"2022-03-09 00:00:00",2088,79443089.31
"2022-03-10 00:00:00",2069,78361389.44
"2022-03-11 00:00:00",1999,75518954.61
"2022-03-12 00:00:00",1941,73023666
"2022-03-13 00:00:00",1918,71610999.91
"2022-03-14 00:00:00",1866,69286089.17
"2022-03-15 00:00:00",1761,64541585.11
"2022-03-16 00:00:00",1692,61019648.29
"2022-03-17 00:00:00",1537,51707072.88
"2022-03-18 00:00:00",1697,55636542.36
"2022-03-19 00:00:00",1693,54357095.58
"2022-03-20 00:00:00",1686,53579532.09
"2022-03-21 00:00:00",1686,52918659.09
"2022-03-22 00:00:00",1673,52467910.12
