"DateTime","Number of sales","Sales USD"
"2021-12-12 00:00:00",710,50220072.83
"2021-12-13 00:00:00",735,50997060.64
"2021-12-14 00:00:00",752,51095390.18
"2021-12-15 00:00:00",772,51461940.26
"2021-12-16 00:00:00",750,50142953.51
"2021-12-17 00:00:00",737,47097845.72
"2021-12-18 00:00:00",713,44441391.35
"2021-12-19 00:00:00",706,44507936.68
"2021-12-20 00:00:00",670,41983739.11
"2021-12-21 00:00:00",707,41747735.76
"2021-12-22 00:00:00",778,45763325.28
"2021-12-23 00:00:00",1003,54043286.55
"2021-12-24 00:00:00",1170,63758917.64
"2021-12-25 00:00:00",1360,72361807.29
"2021-12-26 00:00:00",1875,97532877.36
"2021-12-27 00:00:00",2475,127007186.43
"2021-12-28 00:00:00",2595,138681615.01
"2021-12-29 00:00:00",2681,146344561.76
"2021-12-30 00:00:00",2608,147416712.73
"2021-12-31 00:00:00",2578,150851886.24
"2022-01-01 00:00:00",2929,190153557.93
"2022-01-02 00:00:00",3270,217847120.19
"2022-01-03 00:00:00",3217,229926003.43
"2022-01-04 00:00:00",3220,231713164.38
"2022-01-05 00:00:00",3197,233549696.27
"2022-01-06 00:00:00",3168,232751568.54
"2022-01-07 00:00:00",3081,226562717.08
"2022-01-08 00:00:00",2615,185659297.42
"2022-01-09 00:00:00",1920,152233243.24
"2022-01-10 00:00:00",1498,123288933.72
"2022-01-11 00:00:00",1385,113481464.68
"2022-01-12 00:00:00",1266,105863955.45
"2022-01-13 00:00:00",1170,100371326.34
"2022-01-14 00:00:00",1129,99104118.81
"2022-01-15 00:00:00",1164,105783913.17
"2022-01-16 00:00:00",1060,95517062.13
"2022-01-17 00:00:00",1010,88974121.16
"2022-01-18 00:00:00",977,89178810.54
"2022-01-19 00:00:00",973,85825949.41
"2022-01-20 00:00:00",991,89872617.19
"2022-01-21 00:00:00",1022,92063923.84
"2022-01-22 00:00:00",966,85036667.13
"2022-01-23 00:00:00",988,79371990.1
"2022-01-24 00:00:00",960,79755017.16
"2022-01-25 00:00:00",1173,90284881.28
"2022-01-26 00:00:00",1384,103109261.79
"2022-01-27 00:00:00",1438,103823545.87
"2022-01-28 00:00:00",1504,108842007.81
"2022-01-29 00:00:00",1689,124225202.92
"2022-01-30 00:00:00",2030,159619205.72
"2022-01-31 00:00:00",2299,192947483.61
"2022-02-01 00:00:00",2159,191182887.8
"2022-02-02 00:00:00",1994,182387901.04
"2022-02-03 00:00:00",1973,179564658.47
"2022-02-04 00:00:00",1861,172441085.47
"2022-02-05 00:00:00",1631,155967683.53
"2022-02-06 00:00:00",1229,119295047.23
"2022-02-07 00:00:00",944,85951194.38
"2022-02-08 00:00:00",868,75652198.75
"2022-02-09 00:00:00",793,72456303.1
"2022-02-10 00:00:00",723,67601201.6
"2022-02-11 00:00:00",689,63132235.65
"2022-02-12 00:00:00",696,62120050.14
"2022-02-13 00:00:00",729,66941345.28
"2022-02-14 00:00:00",687,63066581.83
"2022-02-15 00:00:00",684,65061164.94
"2022-02-16 00:00:00",692,64353631.13
"2022-02-17 00:00:00",681,63805359.35
"2022-02-18 00:00:00",678,63965054.06
"2022-02-19 00:00:00",654,58871507.67
"2022-02-20 00:00:00",602,51516974.86
"2022-02-21 00:00:00",595,49625125.94
"2022-02-22 00:00:00",571,43713166.31
"2022-02-23 00:00:00",561,41921080.08
"2022-02-24 00:00:00",675,46367512.95
"2022-02-25 00:00:00",731,52855174.32
"2022-02-26 00:00:00",739,56337532.19
"2022-02-27 00:00:00",726,55819584.66
"2022-02-28 00:00:00",704,54912409.13
"2022-03-01 00:00:00",676,53867847.21
"2022-03-02 00:00:00",652,53405119.51
"2022-03-03 00:00:00",515,45367607.84
"2022-03-04 00:00:00",470,37036566.1
"2022-03-05 00:00:00",471,33524021.23
"2022-03-06 00:00:00",471,31464931.94
"2022-03-07 00:00:00",543,36009492.94
"2022-03-08 00:00:00",584,40023460.34
"2022-03-09 00:00:00",575,37678443.21
"2022-03-10 00:00:00",632,38157994.91
"2022-03-11 00:00:00",643,38020843.72
"2022-03-12 00:00:00",707,47361340.27
"2022-03-13 00:00:00",837,58599468.66
"2022-03-14 00:00:00",803,56135465.03
"2022-03-15 00:00:00",847,56787824.85
"2022-03-16 00:00:00",1266,86563263.05
"2022-03-17 00:00:00",2132,160786710.22
"2022-03-18 00:00:00",2566,191981466.18
"2022-03-19 00:00:00",2788,211227756.49
"2022-03-20 00:00:00",2798,213725320.91
"2022-03-21 00:00:00",2855,218356540.85
"2022-03-22 00:00:00",2850,221643734.26
"2022-03-23 00:00:00",2566,207241308.97
"2022-03-24 00:00:00",1820,147566279.32
"2022-03-25 00:00:00",1428,127692630.22
"2022-03-26 00:00:00",1180,107616423.96
"2022-03-27 00:00:00",1114,106181947.64
"2022-03-28 00:00:00",1085,108348566.99
"2022-03-29 00:00:00",1069,108610009.32
"2022-03-30 00:00:00",979,99782683.19
"2022-03-31 00:00:00",858,94123600.31
"2022-04-01 00:00:00",833,88439891.36
"2022-04-02 00:00:00",821,84666537.9
"2022-04-03 00:00:00",764,77584254.6
"2022-04-04 00:00:00",749,75535921.85
"2022-04-05 00:00:00",790,78688808.32
"2022-04-06 00:00:00",792,77887511.78
"2022-04-07 00:00:00",756,72873611.31
"2022-04-08 00:00:00",735,69798267.1
"2022-04-09 00:00:00",672,65477400.95
"2022-04-10 00:00:00",652,65853569.95
"2022-04-11 00:00:00",645,64441297.74
"2022-04-12 00:00:00",563,57113762.49
"2022-04-13 00:00:00",570,57438443.53
"2022-04-14 00:00:00",586,57414325.12
"2022-04-15 00:00:00",569,55437509.53
"2022-04-16 00:00:00",603,56802526.93
"2022-04-17 00:00:00",632,55212506.33
"2022-04-18 00:00:00",760,65212080.28
"2022-04-19 00:00:00",993,89366836.47
"2022-04-20 00:00:00",1146,108030469.36
"2022-04-21 00:00:00",1240,117757944.52
"2022-04-22 00:00:00",1547,131611994.03
"2022-04-23 00:00:00",1742,148033821.63
"2022-04-24 00:00:00",2036,179644161.72
"2022-04-25 00:00:00",2235,195440122.3
"2022-04-26 00:00:00",2214,187413119.98
"2022-04-27 00:00:00",2148,178895295.18
"2022-04-28 00:00:00",2161,183946529.26
"2022-04-29 00:00:00",2094,205620657.72
"2022-04-30 00:00:00",2187,231722457.46
"2022-05-01 00:00:00",2561,280682342.54
"2022-05-02 00:00:00",2560,279798710.16
"2022-05-03 00:00:00",2557,280281066.18
"2022-05-04 00:00:00",2788,305111506.42
"2022-05-05 00:00:00",2744,296018676.59
"2022-05-06 00:00:00",2602,266930364.06
"2022-05-07 00:00:00",2392,230030080.46
"2022-05-08 00:00:00",1758,150451728.08
"2022-05-09 00:00:00",1612,132061314.71
"2022-05-10 00:00:00",1666,130149450.24
"2022-05-11 00:00:00",1418,98468983.8
"2022-05-12 00:00:00",1484,96095651.61
"2022-05-13 00:00:00",1548,97783940.45
"2022-05-14 00:00:00",1497,92680936.07
"2022-05-15 00:00:00",1445,88706669.1
"2022-05-16 00:00:00",1268,78507895.89
"2022-05-17 00:00:00",1016,60672425
"2022-05-18 00:00:00",925,53679389.75
"2022-05-19 00:00:00",801,50421816.83
"2022-05-20 00:00:00",637,41127388
"2022-05-21 00:00:00",611,39667172.88
"2022-05-22 00:00:00",625,39027015.76
"2022-05-23 00:00:00",625,36283670.42
"2022-05-24 00:00:00",599,34009956.36
"2022-05-25 00:00:00",583,31566046.14
"2022-05-26 00:00:00",582,30689495.04
"2022-05-27 00:00:00",629,31000736.61
"2022-05-28 00:00:00",607,28606058.93
"2022-05-29 00:00:00",613,29926768.79
"2022-05-30 00:00:00",598,31109798.98
"2022-05-31 00:00:00",652,38441418.01
"2022-06-01 00:00:00",725,43354867.08
"2022-06-02 00:00:00",698,39991177.83
"2022-06-03 00:00:00",651,39257713.1
"2022-06-04 00:00:00",653,39774152.07
"2022-06-05 00:00:00",617,38132973.11
"2022-06-06 00:00:00",604,40261238.11
"2022-06-07 00:00:00",568,36781150.6
"2022-06-08 00:00:00",509,31349055.78
"2022-06-09 00:00:00",517,32372074.36
"2022-06-10 00:00:00",499,31839043.59
"2022-06-11 00:00:00",518,32563514.78
"2022-06-12 00:00:00",560,33526974.6
"2022-06-13 00:00:00",849,38209199.59
"2022-06-14 00:00:00",1009,39715578.43
"2022-06-15 00:00:00",1083,41863024.96
"2022-06-16 00:00:00",1116,42091839.71
"2022-06-17 00:00:00",1164,41955768
"2022-06-18 00:00:00",1204,42021931.06
"2022-06-19 00:00:00",1218,42260224.58
"2022-06-20 00:00:00",966,34998163.92
"2022-06-21 00:00:00",816,30552437.48
"2022-06-22 00:00:00",717,27575889.4
"2022-06-23 00:00:00",662,24413192.91
"2022-06-24 00:00:00",652,23844645.33
"2022-06-25 00:00:00",593,22509503.22
"2022-06-26 00:00:00",570,22336393.87
"2022-06-27 00:00:00",555,22924651.16
"2022-06-28 00:00:00",566,24259637.41
"2022-06-29 00:00:00",582,24141673.19
"2022-06-30 00:00:00",615,26163137.6
"2022-07-01 00:00:00",622,27125945.59
"2022-07-02 00:00:00",626,26643300.14
"2022-07-03 00:00:00",606,25125812.73
"2022-07-04 00:00:00",567,22532001.87
"2022-07-05 00:00:00",535,19688935.2
"2022-07-06 00:00:00",544,20818968.4
"2022-07-07 00:00:00",588,23021752.32
"2022-07-08 00:00:00",614,24571112.54
"2022-07-09 00:00:00",767,27653559.4
"2022-07-10 00:00:00",828,30163554.81
"2022-07-11 00:00:00",861,30751517.93
"2022-07-12 00:00:00",906,32133164.79
"2022-07-13 00:00:00",930,32862615.81
"2022-07-14 00:00:00",874,29798540.37
"2022-07-15 00:00:00",801,26786652.46
"2022-07-16 00:00:00",656,24605222.62
"2022-07-17 00:00:00",592,22452755.3
"2022-07-18 00:00:00",576,23086527.03
"2022-07-19 00:00:00",536,23061379.92
"2022-07-20 00:00:00",475,21288651.38
"2022-07-21 00:00:00",488,22926158.91
"2022-07-22 00:00:00",498,23571201.41
"2022-07-23 00:00:00",477,22711877.58
"2022-07-24 00:00:00",469,22178615.19
"2022-07-25 00:00:00",460,21758982.09
"2022-07-26 00:00:00",460,21104730.82
"2022-07-27 00:00:00",493,20882838.55
"2022-07-28 00:00:00",488,20103026.53
"2022-07-29 00:00:00",521,21297224.61
"2022-07-30 00:00:00",524,22132331.56
"2022-07-31 00:00:00",520,21307329.95
"2022-08-01 00:00:00",513,20826884.21
"2022-08-02 00:00:00",490,19954934.26
"2022-08-03 00:00:00",464,19604884.57
"2022-08-04 00:00:00",470,19173189.22
"2022-08-05 00:00:00",458,18890176.72
"2022-08-06 00:00:00",465,18201471.48
"2022-08-07 00:00:00",528,20361280.52
"2022-08-08 00:00:00",541,20020664.23
"2022-08-09 00:00:00",557,20854232.97
"2022-08-10 00:00:00",597,22886175.57
"2022-08-11 00:00:00",574,23054670.43
"2022-08-12 00:00:00",569,22207204.75
"2022-08-13 00:00:00",580,22762594.82
"2022-08-14 00:00:00",534,22001205.99
"2022-08-15 00:00:00",546,23151190.81
"2022-08-16 00:00:00",573,24320519.21
"2022-08-17 00:00:00",567,25152438.33
"2022-08-18 00:00:00",559,24860683.45
"2022-08-19 00:00:00",591,24943484.54
"2022-08-20 00:00:00",646,26242908.29
"2022-08-21 00:00:00",767,28991418.82
"2022-08-22 00:00:00",794,29687490.57
"2022-08-23 00:00:00",775,28443327.4
"2022-08-24 00:00:00",831,28709082.11
"2022-08-25 00:00:00",921,32708897.13
"2022-08-26 00:00:00",944,34173172.09
"2022-08-27 00:00:00",903,33918237.71
"2022-08-28 00:00:00",781,30522894.39
"2022-08-29 00:00:00",735,28590431.36
"2022-08-30 00:00:00",729,28503758.82
"2022-08-31 00:00:00",636,25965214.24
"2022-09-01 00:00:00",525,19702813.39
"2022-09-02 00:00:00",451,16891219.89
"2022-09-03 00:00:00",404,14227891.88
"2022-09-04 00:00:00",358,12592003.44
"2022-09-05 00:00:00",357,12884147.14
"2022-09-06 00:00:00",359,11862088.99
"2022-09-07 00:00:00",385,11238014.34
"2022-09-08 00:00:00",412,13108209.04
"2022-09-09 00:00:00",413,13307243.86
"2022-09-10 00:00:00",463,14570752.47
"2022-09-11 00:00:00",532,17433659.11
"2022-09-12 00:00:00",542,17343064.36
"2022-09-13 00:00:00",548,17977030.6
"2022-09-14 00:00:00",507,17047046.31
"2022-09-15 00:00:00",523,16516129.9
"2022-09-16 00:00:00",515,15584163.4
"2022-09-17 00:00:00",503,15655593.24
"2022-09-18 00:00:00",491,14838746.19
"2022-09-19 00:00:00",500,14791052.31
"2022-09-20 00:00:00",543,16007469.75
"2022-09-21 00:00:00",582,16358683.09
"2022-09-22 00:00:00",571,16026099.68
"2022-09-23 00:00:00",590,17383542.01
"2022-09-24 00:00:00",600,18266132.06
"2022-09-25 00:00:00",619,18817187.11
"2022-09-26 00:00:00",619,19536799.49
"2022-09-27 00:00:00",546,17648392.17
"2022-09-28 00:00:00",569,18569032.19
"2022-09-29 00:00:00",568,18006726.4
"2022-09-30 00:00:00",565,17096394.91
"2022-10-01 00:00:00",546,15767190.33
"2022-10-02 00:00:00",518,14278323.65
"2022-10-03 00:00:00",487,12578459.11
"2022-10-04 00:00:00",491,12149802.32
"2022-10-05 00:00:00",439,11033331.81
"2022-10-06 00:00:00",434,12089062.42
