"DateTime","Number of sales","Sales USD"
"2021-12-12 00:00:00",558,10141324.48
"2021-12-13 00:00:00",2967,69535107.89
"2021-12-14 00:00:00",4197,114643767.34
"2021-12-15 00:00:00",4591,128888701.78
"2021-12-16 00:00:00",4851,136715283.2
"2021-12-17 00:00:00",5046,143223510.81
"2021-12-18 00:00:00",5236,151165086.94
"2021-12-19 00:00:00",4829,146114794.11
"2021-12-20 00:00:00",2553,90518599.96
"2021-12-21 00:00:00",1447,49218391
"2021-12-22 00:00:00",1173,38330972.51
"2021-12-23 00:00:00",992,32765258.98
"2021-12-24 00:00:00",900,29068390.76
"2021-12-25 00:00:00",803,23533667.68
"2021-12-26 00:00:00",737,20861736.98
"2021-12-27 00:00:00",694,20782021.85
"2021-12-28 00:00:00",671,20057976.53
"2021-12-29 00:00:00",652,19272096.95
"2021-12-30 00:00:00",637,18462348.69
"2021-12-31 00:00:00",634,17710416.6
"2022-01-01 00:00:00",630,17247288.7
"2022-01-02 00:00:00",669,17556788.77
"2022-01-03 00:00:00",906,21931013.9
"2022-01-04 00:00:00",1091,27516779.12
"2022-01-05 00:00:00",1089,27821356.94
"2022-01-06 00:00:00",1106,28667133.29
"2022-01-07 00:00:00",1087,28555228
"2022-01-08 00:00:00",1071,28219153.41
"2022-01-09 00:00:00",1002,26802779.2
"2022-01-10 00:00:00",755,20609306.62
"2022-01-11 00:00:00",543,13579679.13
"2022-01-12 00:00:00",521,12956502.63
"2022-01-13 00:00:00",607,16401325.72
"2022-01-14 00:00:00",613,16782673.84
"2022-01-15 00:00:00",606,17399297.53
"2022-01-16 00:00:00",626,18063145.6
"2022-01-17 00:00:00",605,17721180.28
"2022-01-18 00:00:00",603,18653211.33
"2022-01-19 00:00:00",603,18520783.82
"2022-01-20 00:00:00",529,15221521.35
"2022-01-21 00:00:00",611,18519580.6
"2022-01-22 00:00:00",688,18986036.36
"2022-01-23 00:00:00",704,19348287.22
"2022-01-24 00:00:00",725,19189615.2
"2022-01-25 00:00:00",759,18838607.02
"2022-01-26 00:00:00",1097,25422379.55
"2022-01-27 00:00:00",1271,32641122.06
"2022-01-28 00:00:00",1444,38526888.83
"2022-01-29 00:00:00",1619,51793180.02
"2022-01-30 00:00:00",1735,59022320.49
"2022-01-31 00:00:00",2019,78575089.32
"2022-02-01 00:00:00",2102,88537732.84
"2022-02-02 00:00:00",1842,87242891.68
"2022-02-03 00:00:00",1750,85193921.91
"2022-02-04 00:00:00",1541,81425719.79
"2022-02-05 00:00:00",1281,68558341.31
"2022-02-06 00:00:00",1151,62882463.09
"2022-02-07 00:00:00",896,48669346.25
"2022-02-08 00:00:00",777,41087055.22
"2022-02-09 00:00:00",706,39817449.67
"2022-02-10 00:00:00",580,34860054.45
"2022-02-11 00:00:00",504,31007822.98
"2022-02-12 00:00:00",493,30498930.06
"2022-02-13 00:00:00",453,29224061.39
"2022-02-14 00:00:00",411,25463172.91
"2022-02-15 00:00:00",378,22966750.15
"2022-02-16 00:00:00",354,19978648.72
"2022-02-17 00:00:00",345,19321418.49
"2022-02-18 00:00:00",332,18021367.62
"2022-02-19 00:00:00",317,17165226.98
"2022-02-20 00:00:00",308,15573488.9
"2022-02-21 00:00:00",284,14380147.93
"2022-02-22 00:00:00",294,14268415.88
"2022-02-23 00:00:00",268,12591930.67
"2022-02-24 00:00:00",328,13734154.71
"2022-02-25 00:00:00",362,13127972.48
"2022-02-26 00:00:00",365,13463718.38
"2022-02-27 00:00:00",366,13622477.9
"2022-02-28 00:00:00",359,13139755.36
"2022-03-01 00:00:00",346,11844996.51
"2022-03-02 00:00:00",359,12897228.24
"2022-03-03 00:00:00",314,13191476.38
"2022-03-04 00:00:00",282,13957056.6
"2022-03-05 00:00:00",292,13653985.18
"2022-03-06 00:00:00",294,13892542.35
"2022-03-07 00:00:00",325,15322749.74
"2022-03-08 00:00:00",346,16467543.84
"2022-03-09 00:00:00",329,15446627.28
"2022-03-10 00:00:00",310,12884935.26
"2022-03-11 00:00:00",297,11158168.36
"2022-03-12 00:00:00",284,10626944.51
"2022-03-13 00:00:00",280,10157874.88
"2022-03-14 00:00:00",259,8849277.89
"2022-03-15 00:00:00",243,8369981.01
"2022-03-16 00:00:00",244,7921760.1
"2022-03-17 00:00:00",277,9918263.38
"2022-03-18 00:00:00",339,12925489.52
"2022-03-19 00:00:00",421,17384186.67
"2022-03-20 00:00:00",444,19188294.07
"2022-03-21 00:00:00",432,19451480.76
"2022-03-22 00:00:00",443,19963443.96
"2022-03-23 00:00:00",453,20721494.49
"2022-03-24 00:00:00",419,19676073.17
"2022-03-25 00:00:00",361,17725962.41
