"DateTime","Number of sales","Sales USD"
"2021-12-12 00:00:00",106,47297564.35
"2021-12-13 00:00:00",90,41665120.63
"2021-12-14 00:00:00",93,41878338.64
"2021-12-15 00:00:00",96,41540527.03
"2021-12-16 00:00:00",95,29925514.99
"2021-12-17 00:00:00",94,30302057.91
"2021-12-18 00:00:00",89,28693658.65
"2021-12-19 00:00:00",87,28005035.71
"2021-12-20 00:00:00",75,24292973.58
"2021-12-21 00:00:00",83,26343662.16
"2021-12-22 00:00:00",94,28566136.24
"2021-12-23 00:00:00",95,28295122.3
"2021-12-24 00:00:00",144,43280800.15
"2021-12-25 00:00:00",156,47363581.19
"2021-12-26 00:00:00",166,50053028.74
"2021-12-27 00:00:00",166,49550026.06
"2021-12-28 00:00:00",156,46035703.04
"2021-12-29 00:00:00",141,42988230.92
"2021-12-30 00:00:00",149,46198529.83
"2021-12-31 00:00:00",110,33477579.01
"2022-01-01 00:00:00",119,34273846.55
"2022-01-02 00:00:00",110,32351714.17
"2022-01-03 00:00:00",111,32830305.03
"2022-01-04 00:00:00",103,31005294.87
"2022-01-05 00:00:00",98,28974070.78
"2022-01-06 00:00:00",134,28376029.4
"2022-01-07 00:00:00",120,22673587.66
"2022-01-08 00:00:00",110,20139817.82
"2022-01-09 00:00:00",107,18281269.99
"2022-01-10 00:00:00",112,18148577.78
"2022-01-11 00:00:00",117,19233643.74
"2022-01-12 00:00:00",117,19135624.41
"2022-01-13 00:00:00",59,13056974.84
"2022-01-14 00:00:00",58,12778764.78
"2022-01-15 00:00:00",54,11668984.28
"2022-01-16 00:00:00",54,11614451.57
"2022-01-17 00:00:00",52,11579508.58
"2022-01-18 00:00:00",55,12384695.27
"2022-01-19 00:00:00",63,13861945.54
"2022-01-20 00:00:00",82,18207605.55
"2022-01-21 00:00:00",87,19461183.47
"2022-01-22 00:00:00",101,21535157.03
"2022-01-23 00:00:00",124,25926693.63
"2022-01-24 00:00:00",128,26203871.05
"2022-01-25 00:00:00",224,44343966.83
"2022-01-26 00:00:00",242,50513623.73
"2022-01-27 00:00:00",233,48346264.67
"2022-01-28 00:00:00",263,54948283.71
"2022-01-29 00:00:00",254,54705906.13
"2022-01-30 00:00:00",237,54931719.51
"2022-01-31 00:00:00",245,58358711.81
"2022-02-01 00:00:00",153,41247445.31
"2022-02-02 00:00:00",144,38226884.69
"2022-02-03 00:00:00",147,38478787.72
"2022-02-04 00:00:00",161,31218332.54
"2022-02-05 00:00:00",156,29481946.02
"2022-02-06 00:00:00",153,25683973.89
"2022-02-07 00:00:00",144,22921292.75
"2022-02-08 00:00:00",139,21817006.88
"2022-02-09 00:00:00",129,26741879.82
"2022-02-10 00:00:00",121,25287860.98
"2022-02-11 00:00:00",72,25366089.37
"2022-02-12 00:00:00",75,49710093.97
"2022-02-13 00:00:00",91,53436396.19
"2022-02-14 00:00:00",81,51016786.88
"2022-02-15 00:00:00",77,49788012.85
"2022-02-16 00:00:00",66,39215884.39
"2022-02-17 00:00:00",64,38881869.93
"2022-02-18 00:00:00",60,37337596.22
"2022-02-19 00:00:00",51,11715636.11
"2022-02-20 00:00:00",36,7863366.87
