"DateTime","Number of sales","Sales USD"
"2021-12-19 00:00:00",13635,1905807.38
"2021-12-20 00:00:00",2322,526784.7
"2021-12-21 00:00:00",996,376771.8
"2021-12-22 00:00:00",276,116727.87
"2021-12-23 00:00:00",331,108037.04
"2021-12-24 00:00:00",321,140760.95
"2021-12-25 00:00:00",500,291536.12
"2021-12-26 00:00:00",503,319201.11
"2021-12-27 00:00:00",316,314247.98
"2021-12-28 00:00:00",106,66125.1
"2021-12-29 00:00:00",76,120878.22
"2021-12-30 00:00:00",84,44544.71
"2021-12-31 00:00:00",144,160753.53
"2022-01-01 00:00:00",169,204357.06
"2022-01-02 00:00:00",197,96893.2
"2022-01-03 00:00:00",192,139957.47
"2022-01-04 00:00:00",106,103652.11
"2022-01-05 00:00:00",166,347944.34
"2022-01-06 00:00:00",1175,3435360.91
"2022-01-07 00:00:00",3694,3953458.9
"2022-01-08 00:00:00",1381,1665635.23
"2022-01-09 00:00:00",394,879109.82
"2022-01-10 00:00:00",184,264181.55
"2022-01-11 00:00:00",192,479712.05
"2022-01-12 00:00:00",84,207460.14
"2022-01-13 00:00:00",85,143505.45
"2022-01-14 00:00:00",53,101570.03
"2022-01-15 00:00:00",109,156790.88
"2022-01-16 00:00:00",76,74708.02
"2022-01-17 00:00:00",79,93843.62
"2022-01-18 00:00:00",55,53254.96
"2022-01-19 00:00:00",96,143196.58
"2022-01-20 00:00:00",60,97795.17
"2022-01-21 00:00:00",40,53674.92
"2022-01-22 00:00:00",117,64327.18
"2022-01-23 00:00:00",81,46872.8
"2022-01-24 00:00:00",49,89554.37
"2022-01-25 00:00:00",56,97481.76
"2022-01-26 00:00:00",49,65842.88
"2022-01-27 00:00:00",36,41182.61
"2022-01-28 00:00:00",148,191272.96
"2022-01-29 00:00:00",49,36394.68
"2022-01-30 00:00:00",92,107745.16
"2022-01-31 00:00:00",105,228207.69
"2022-02-01 00:00:00",102,219471.65
"2022-02-02 00:00:00",95,124011.52
"2022-02-03 00:00:00",118,103256.8
"2022-02-04 00:00:00",38,58181.14
"2022-02-05 00:00:00",84,62418.04
